"Name","Source","ReleaseDate","Playtime","IsInstalled"
"Spirit of the North","Epic","13/11/2019","0","False"
"Drug Dealer Simulator","Steam","16/04/2020","3600","True"
"Archvale","Xbox","2/12/2021","420","False"
"DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition","Xbox","4/12/2020","4140","False"
"CarX Drift Racing Online","Steam","7/07/2017","67620","False"
"Age of Empires II: Definitive Edition","Steam","14/11/2019","10380","False"
"The Forest","Steam","30/04/2018","1500","False"
"Planet Coaster: Console Edition","Xbox","24/11/2020","5160","False"
"WWII Online","Steam","31/12/2018","1860","False"
"Serious Sam 4","Xbox","7/12/2021","2340","False"
"DEMON'S TILT","Epic","6/12/2019","0","False"
"LEGO Star Wars: TFA","Xbox","28/06/2016","0","False"
"Pew Dew Redemption","Steam",,"180","False"
"DRAGON BALL FIGHTERZ","Xbox","26/01/2018","6480","False"
"Burnout Paradise Remastered","Xbox","16/03/2018","21420","False"
"Assassin's Creed Unity","Xbox","11/11/2014","0","False"
"Bone Voyage","Steam","24/06/2019","2820","False"
"UNDEFEATED","Steam","2/08/2019","3360","False"
"F1 2019","Xbox","20/08/2019","4740","False"
"Brawlhalla","Steam","30/04/2014","6000","False"
"Spacelords","Xbox","22/09/2017","10980","False"
"DayZ","Xbox","27/03/2019","900","False"
"Sam & Dan: Floaty Flatmates","Steam","12/12/2018","0","False"
"Brawlhalla","Xbox","6/11/2018","20520","False"
"Ship Ahoy Open BETA","Steam","10/01/2018","0","False"
"DOOM VFR","Steam","30/11/2017","960","False"
"Hotshot Racing","Xbox","10/09/2020","420","False"
"Alan Wake's American Nightmare","Xbox","22/02/2012","0","False"
"APB Reloaded","Steam","29/06/2010","83700","False"
"RESEARCH and DESTROY","Xbox","26/04/2022","540","False"
"Driver Booster for Steam","Steam",,"0","False"
"VRoid Studio","Steam",,"120","False"
"art of rally","Xbox","12/08/2021","1260","False"
"Supraland","Xbox","22/10/2020","900","False"
"Neon Boost","Steam","20/05/2019","300","False"
"Strange Creatures","Steam","26/03/2020","900","False"
"Supraland","Epic",,"0","False"
"Borderlands 3","Epic","13/09/2019","3122","False"
"EA SPORTS UFC 3","Xbox","2/02/2018","5760","False"
"City of Brass","Epic","4/05/2018","0","False"
"CS:GO Player Profiles: markeloff - Flipsid3","Steam",,"0","False"
"The Drone Racing League Simulator","Epic","16/06/2017","1141","True"
"Assetto Corsa","Steam","19/12/2014","3600","False"
"Black Widow: Recharged","Epic","27/10/2021","0","False"
"Ultimate Custom Night","Steam","27/06/2018","360","False"
"Need for Speed Payback","Xbox","10/11/2017","118080","False"
"Stardew Valley","Xbox","14/12/2016","960","False"
"ScreamRide","Xbox","3/03/2015","1980","False"
"Astria Ascending","Xbox","30/09/2021","300","False"
"MechWarrior 5: Mercenaries","Xbox","27/05/2021","1800","False"
"CS:GO Player Profiles: s1mple – Natus Vincere","Steam",,"0","False"
